Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1999;2000;2001;2002;2003
Slovenia; World;Export;  All Products;Trade Value (US$ Thousand);8545870,832;8732145,119;9252429,928;10356930,5;12766870,96
Slovenia;Afghanistan;Export;  All Products;Trade Value (US$ Thousand);143,918;139,41;32,076;343,152;96,498
Slovenia;Albania;Export;  All Products;Trade Value (US$ Thousand);5068,602;5501,552;8718,297;10730,716;13681,073
Slovenia;Algeria;Export;  All Products;Trade Value (US$ Thousand);22082,367;7261,537;10349,054;7155,212;9269,237
Slovenia;American Samoa;Export;  All Products;Trade Value (US$ Thousand);;;;8,868;
Slovenia;Andorra;Export;  All Products;Trade Value (US$ Thousand);20,936;165,035;151,088;158,711;265,189
Slovenia;Angola;Export;  All Products;Trade Value (US$ Thousand);28,021;113,585;88,017;26,498;47,865
Slovenia;Antarctica;Export;  All Products;Trade Value (US$ Thousand);;;3,102;;
Slovenia;Antigua and Barbuda;Export;  All Products;Trade Value (US$ Thousand);;;0,715;147,35;
Slovenia;Argentina;Export;  All Products;Trade Value (US$ Thousand);6109,877;3651,249;4321,197;1001,731;2109,567
Slovenia;Armenia;Export;  All Products;Trade Value (US$ Thousand);651,653;940,697;749,283;625,296;708,362
Slovenia;Aruba;Export;  All Products;Trade Value (US$ Thousand);;;;;0,169
Slovenia;Australia;Export;  All Products;Trade Value (US$ Thousand);13744,676;12105,808;20139,175;23500,615;30537,807
Slovenia;Austria;Export;  All Products;Trade Value (US$ Thousand);621753,274;655886,733;692260,495;730354,674;935091,344
Slovenia;Azerbaijan;Export;  All Products;Trade Value (US$ Thousand);1176,093;2071,38;2014,162;1546,75;1957,547
Slovenia;Bahamas, The;Export;  All Products;Trade Value (US$ Thousand);12,25;61,86;248,724;0,573;
Slovenia;Bahrain;Export;  All Products;Trade Value (US$ Thousand);435,125;220,871;210,121;409,065;316,234
Slovenia;Bangladesh;Export;  All Products;Trade Value (US$ Thousand);363,902;370,032;937,483;817,362;332,136
Slovenia;Barbados;Export;  All Products;Trade Value (US$ Thousand);;9,577;;5,478;
Slovenia;Belarus;Export;  All Products;Trade Value (US$ Thousand);13506,745;13658,521;17738,28;18607,855;26562,951
Slovenia;Belgium;Export;  All Products;Trade Value (US$ Thousand);133981,709;97852,766;100124,678;90739,396;105744,327
Slovenia;Belize;Export;  All Products;Trade Value (US$ Thousand);;;0,199;;1,154
Slovenia;Benin;Export;  All Products;Trade Value (US$ Thousand);140,972;75,636;80,758;91,832;105,27
Slovenia;Bermuda;Export;  All Products;Trade Value (US$ Thousand);;;2,609;10,761;17,291
Slovenia;Bolivia;Export;  All Products;Trade Value (US$ Thousand);264,175;92,614;97,166;66,07;47,612
Slovenia;Bosnia and Herzegovina;Export;  All Products;Trade Value (US$ Thousand);362931,831;374135,608;397522,553;466056,865;533209,006
Slovenia;Botswana;Export;  All Products;Trade Value (US$ Thousand);;;0,148;;177,241
Slovenia;Bouvet Island;Export;  All Products;Trade Value (US$ Thousand);;;13,873;;
Slovenia;Brazil;Export;  All Products;Trade Value (US$ Thousand);7574,484;21830,21;20748,713;7585,306;7723,72
Slovenia;British Virgin Islands;Export;  All Products;Trade Value (US$ Thousand);165,724;248,905;180,813;233,137;133,067
Slovenia;Bulgaria;Export;  All Products;Trade Value (US$ Thousand);25012,226;27890,744;32208,442;40034,793;59447,169
Slovenia;Burundi;Export;  All Products;Trade Value (US$ Thousand);;4,117;;0,019;
Slovenia;Cambodia;Export;  All Products;Trade Value (US$ Thousand);;4,313;78,897;228,591;97,994
Slovenia;Cameroon;Export;  All Products;Trade Value (US$ Thousand);155,441;304,769;549,074;478,815;1001,96
Slovenia;Canada;Export;  All Products;Trade Value (US$ Thousand);22008,868;20269,512;19118,972;26330,779;23950,763
Slovenia;Cape Verde;Export;  All Products;Trade Value (US$ Thousand);;;;0,094;
Slovenia;Cayman Islands;Export;  All Products;Trade Value (US$ Thousand);;1,7;;0,179;13,932
Slovenia;Central African Republic;Export;  All Products;Trade Value (US$ Thousand);185,84;151,497;24,509;27,565;47,481
Slovenia;Chad;Export;  All Products;Trade Value (US$ Thousand);49,286;24,311;196,007;194,055;
Slovenia;Chile;Export;  All Products;Trade Value (US$ Thousand);1205,763;2130,726;2229,168;1641,335;2256,806
Slovenia;China;Export;  All Products;Trade Value (US$ Thousand);12808,003;14412,07;11267,093;21534,497;30067,489
Slovenia;Colombia;Export;  All Products;Trade Value (US$ Thousand);7373,623;3046,453;3793,908;5028,387;3293,551
Slovenia;Congo, Dem. Rep.;Export;  All Products;Trade Value (US$ Thousand);;;;;8,052
Slovenia;Congo, Rep.;Export;  All Products;Trade Value (US$ Thousand);52,546;38,267;0,948;17,628;182,037
Slovenia;Cook Islands;Export;  All Products;Trade Value (US$ Thousand);5,269;;;;0,917
Slovenia;Costa Rica;Export;  All Products;Trade Value (US$ Thousand);298,89;599,707;138,231;67,935;51,677
Slovenia;Cote d'Ivoire;Export;  All Products;Trade Value (US$ Thousand);696,843;479,813;832,766;733,262;830,836
Slovenia;Croatia;Export;  All Products;Trade Value (US$ Thousand);671156,149;688037,151;798767,024;901983,356;1140690,102
Slovenia;Cuba;Export;  All Products;Trade Value (US$ Thousand);23,372;24,363;55,152;10,939;0,897
Slovenia;Cyprus;Export;  All Products;Trade Value (US$ Thousand);3699,824;4654,614;3005,483;3167,342;2129,697
Slovenia;Czech Republic;Export;  All Products;Trade Value (US$ Thousand);158629,33;150839,772;167988,878;189521,121;231676,001
Slovenia;Denmark;Export;  All Products;Trade Value (US$ Thousand);79039;81404,193;87148,319;91179,752;114836,563
Slovenia;Djibouti;Export;  All Products;Trade Value (US$ Thousand);99,138;577,853;1391,896;998,522;120,307
Slovenia;Dominica;Export;  All Products;Trade Value (US$ Thousand);10,497;;40,907;3,985;43,47
Slovenia;Dominican Republic;Export;  All Products;Trade Value (US$ Thousand);56,325;286,335;538,753;1148,635;731,488
Slovenia;Ecuador;Export;  All Products;Trade Value (US$ Thousand);846,58;1109,974;2433,869;1266,947;1342,451
Slovenia;Egypt, Arab Rep.;Export;  All Products;Trade Value (US$ Thousand);28178,379;24814,367;31045,733;31158,794;34763,611
Slovenia;El Salvador;Export;  All Products;Trade Value (US$ Thousand);582,088;310,153;202,371;229,467;36,787
Slovenia;Eritrea;Export;  All Products;Trade Value (US$ Thousand);;333,194;;140,952;211,4
Slovenia;Estonia;Export;  All Products;Trade Value (US$ Thousand);3122,894;3714,096;4553,106;5103,627;6949,937
Slovenia;Ethiopia(excludes Eritrea);Export;  All Products;Trade Value (US$ Thousand);136,895;207,045;1484,248;414,83;2341,433
Slovenia;Falkland Island;Export;  All Products;Trade Value (US$ Thousand);;0,336;0,41;;
Slovenia;Fiji;Export;  All Products;Trade Value (US$ Thousand);3,386;0,039;;20,058;3,315
Slovenia;Finland;Export;  All Products;Trade Value (US$ Thousand);17180,827;22668,224;27150,469;25305,64;29904,751
Slovenia;Fm Sudan;Export;  All Products;Trade Value (US$ Thousand);8,683;219,98;244,321;302,3;502,059
Slovenia;Fr. So. Ant. Tr;Export;  All Products;Trade Value (US$ Thousand);76,462;;86,174;63,256;10,708
Slovenia;France;Export;  All Products;Trade Value (US$ Thousand);490688,871;619477,632;628899,355;690213,12;721437,052
Slovenia;French Polynesia;Export;  All Products;Trade Value (US$ Thousand);;0,834;0,262;;
Slovenia;Gabon;Export;  All Products;Trade Value (US$ Thousand);2,725;90,227;17,094;15,79;
Slovenia;Gambia, The;Export;  All Products;Trade Value (US$ Thousand);81,033;53,663;104,475;207,148;220,891
Slovenia;Georgia;Export;  All Products;Trade Value (US$ Thousand);2016,335;1632,029;2906,622;2828,648;2776,118
Slovenia;Germany;Export;  All Products;Trade Value (US$ Thousand);2626631,491;2375739,28;2428163,342;2560894,967;2948345,674
Slovenia;Ghana;Export;  All Products;Trade Value (US$ Thousand);1999,628;1084,948;987,396;1300,768;1706,751
Slovenia;Gibraltar;Export;  All Products;Trade Value (US$ Thousand);165,354;;67,325;16,107;62,32
Slovenia;Greece;Export;  All Products;Trade Value (US$ Thousand);23978,344;24032,961;29293,597;33984,784;45123,704
Slovenia;Greenland;Export;  All Products;Trade Value (US$ Thousand);4,59;;;;
Slovenia;Grenada;Export;  All Products;Trade Value (US$ Thousand);179,277;288,822;50,538;30,554;26,617
Slovenia;Guatemala;Export;  All Products;Trade Value (US$ Thousand);545,269;809,313;642,739;207,45;134,382
Slovenia;Guinea;Export;  All Products;Trade Value (US$ Thousand);323,451;2465,794;1889,434;2565,291;4263,635
Slovenia;Guinea-Bissau;Export;  All Products;Trade Value (US$ Thousand);;0,551;26,068;;
Slovenia;Guyana;Export;  All Products;Trade Value (US$ Thousand);;21,444;3,89;;0,578
Slovenia;Haiti;Export;  All Products;Trade Value (US$ Thousand);;50,407;110,576;35,768;52,325
Slovenia;Honduras;Export;  All Products;Trade Value (US$ Thousand);30,458;37,211;39,045;78,544;356,725
Slovenia;Hong Kong, China;Export;  All Products;Trade Value (US$ Thousand);6755,763;5889,886;6365,529;7855,116;8604,559
Slovenia;Hungary;Export;  All Products;Trade Value (US$ Thousand);144487,307;168483,933;156516,341;185300,315;252366,65
Slovenia;Iceland;Export;  All Products;Trade Value (US$ Thousand);1918,346;1013,177;909,301;955,783;861,777
Slovenia;India;Export;  All Products;Trade Value (US$ Thousand);9219,653;16611,45;14928,852;17970,595;28142,901
Slovenia;Indonesia;Export;  All Products;Trade Value (US$ Thousand);1036,943;2222,87;1767,307;2789,971;4502,649
Slovenia;Iran, Islamic Rep.;Export;  All Products;Trade Value (US$ Thousand);20913,295;29090,856;28626,751;57007,039;69394,424
Slovenia;Iraq;Export;  All Products;Trade Value (US$ Thousand);258,343;372,705;73,212;3258,61;10488,578
Slovenia;Ireland;Export;  All Products;Trade Value (US$ Thousand);8657,195;14181,797;13487,639;12778,927;19352,559
Slovenia;Israel;Export;  All Products;Trade Value (US$ Thousand);10190,253;16504,879;15570,773;15044,665;19193,281
Slovenia;Italy;Export;  All Products;Trade Value (US$ Thousand);1175495,086;1186424,037;1154050,917;1246464,98;1667662,111
Slovenia;Jamaica;Export;  All Products;Trade Value (US$ Thousand);17,731;254,343;562,344;501,435;322,029
Slovenia;Japan;Export;  All Products;Trade Value (US$ Thousand);12710,269;11990,308;12162,949;15285,646;18332,314
Slovenia;Jordan;Export;  All Products;Trade Value (US$ Thousand);3359,846;2511,811;2288,044;5122,169;2478,346
Slovenia;Kazakhstan;Export;  All Products;Trade Value (US$ Thousand);3071,451;7804,721;9159,559;11368,264;21212,687
Slovenia;Kenya;Export;  All Products;Trade Value (US$ Thousand);298,062;574,377;90,406;1534,834;1104,512
Slovenia;Kiribati;Export;  All Products;Trade Value (US$ Thousand);0,834;;;;
Slovenia;Korea, Dem. Rep.;Export;  All Products;Trade Value (US$ Thousand);17,245;94,713;108,229;215,54;898,777
Slovenia;Korea, Rep.;Export;  All Products;Trade Value (US$ Thousand);7825,937;13348,686;10799,873;14801,696;21990,202
Slovenia;Kuwait;Export;  All Products;Trade Value (US$ Thousand);902,918;1474,284;962,642;2673,184;2237,987
Slovenia;Kyrgyz Republic;Export;  All Products;Trade Value (US$ Thousand);1348,674;46,925;184,977;891,543;535,726
Slovenia;Lao PDR;Export;  All Products;Trade Value (US$ Thousand);;42,207;;;3,139
Slovenia;Latvia;Export;  All Products;Trade Value (US$ Thousand);7543,1;7000,091;9444,552;12152,526;17237,674
Slovenia;Lebanon;Export;  All Products;Trade Value (US$ Thousand);2008,649;1532,442;2094,299;1874,072;1900,152
Slovenia;Liberia;Export;  All Products;Trade Value (US$ Thousand);6,406;17,916;239,163;226,207;285,453
Slovenia;Libya;Export;  All Products;Trade Value (US$ Thousand);3440,11;1446,743;6197,75;5212,961;4001,927
Slovenia;Lithuania;Export;  All Products;Trade Value (US$ Thousand);17588,548;17670,491;24995,62;34417,967;35074,945
Slovenia;Luxembourg;Export;  All Products;Trade Value (US$ Thousand);9601,363;4226,701;2600,473;7442,466;29877,659
Slovenia;Macao;Export;  All Products;Trade Value (US$ Thousand);33,708;3,385;71,718;60,362;19,05
Slovenia;Macedonia, FYR;Export;  All Products;Trade Value (US$ Thousand);176603,229;157886,094;131686,817;150686,37;162007,422
Slovenia;Madagascar;Export;  All Products;Trade Value (US$ Thousand);111,024;207,257;62,263;81,907;54,34
Slovenia;Malawi;Export;  All Products;Trade Value (US$ Thousand);;6,27;30,372;34,838;
Slovenia;Malaysia;Export;  All Products;Trade Value (US$ Thousand);6481,373;6052,448;7173,668;8002,454;7599,931
Slovenia;Maldives;Export;  All Products;Trade Value (US$ Thousand);;;;13,202;14,934
Slovenia;Mali;Export;  All Products;Trade Value (US$ Thousand);13,301;;227,88;229,251;203,779
Slovenia;Malta;Export;  All Products;Trade Value (US$ Thousand);1167,652;1571,16;1570,77;1456,823;1370,388
Slovenia;Marshall Islands;Export;  All Products;Trade Value (US$ Thousand);69,682;100,646;98,615;16,728;
Slovenia;Mauritius;Export;  All Products;Trade Value (US$ Thousand);97,084;27,912;27,944;86,843;65,013
Slovenia;Mayotte;Export;  All Products;Trade Value (US$ Thousand);;;;20,207;41,602
Slovenia;Mexico;Export;  All Products;Trade Value (US$ Thousand);6471,521;6615,573;9845,1;10578,178;21198,317
Slovenia;Micronesia, Fed. Sts.;Export;  All Products;Trade Value (US$ Thousand);66,199;;;;
Slovenia;Moldova;Export;  All Products;Trade Value (US$ Thousand);1666,442;3013,785;5993,724;9070,781;7786,554
Slovenia;Mongolia;Export;  All Products;Trade Value (US$ Thousand);;;;80,624;245,099
Slovenia;Montserrat;Export;  All Products;Trade Value (US$ Thousand);;0,246;;;
Slovenia;Morocco;Export;  All Products;Trade Value (US$ Thousand);1174,358;1939,107;1934,669;2492,262;1577,123
Slovenia;Mozambique;Export;  All Products;Trade Value (US$ Thousand);;14,417;;;
Slovenia;Myanmar;Export;  All Products;Trade Value (US$ Thousand);;;9,4;;
Slovenia;Nauru;Export;  All Products;Trade Value (US$ Thousand);68,707;;;;
Slovenia;Nepal;Export;  All Products;Trade Value (US$ Thousand);15,455;44,884;0,73;4,174;362,496
Slovenia;Netherlands;Export;  All Products;Trade Value (US$ Thousand);143803,056;150691,47;154315,279;172581,511;222584,151
Slovenia;Netherlands Antilles;Export;  All Products;Trade Value (US$ Thousand);;19,934;53,956;10,727;88,253
Slovenia;New Caledonia;Export;  All Products;Trade Value (US$ Thousand);;2,814;;;6,877
Slovenia;New Zealand;Export;  All Products;Trade Value (US$ Thousand);1835,38;1988,22;2423,821;2080,673;2979,602
Slovenia;Nicaragua;Export;  All Products;Trade Value (US$ Thousand);;15,863;;;
Slovenia;Niger;Export;  All Products;Trade Value (US$ Thousand);118,368;85,193;399,706;29,259;118,872
Slovenia;Nigeria;Export;  All Products;Trade Value (US$ Thousand);1328,776;1426,106;2387,725;4132,721;2966,435
Slovenia;Norfolk Island;Export;  All Products;Trade Value (US$ Thousand);19,373;;30,342;12,269;6,997
Slovenia;Northern Mariana Islands;Export;  All Products;Trade Value (US$ Thousand);;1,994;;12,319;
Slovenia;Norway;Export;  All Products;Trade Value (US$ Thousand);18040,766;16973,946;16706,795;20731,087;24592,215
Slovenia;Occ.Pal.Terr;Export;  All Products;Trade Value (US$ Thousand);;;;;32,265
Slovenia;Oman;Export;  All Products;Trade Value (US$ Thousand);1274,046;882,985;811,851;1339,268;1745,567
Slovenia;Other Asia, nes;Export;  All Products;Trade Value (US$ Thousand);9247,112;13389,03;11985,338;14071,748;17669,226
