Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2004;2005;2006;2007;2008
Slovenia; World;Export;  All Products;Trade Value (US$ Thousand);15878765,74;17896024,02;20982712,89;26551122,02;29252924,3
Slovenia;Afghanistan;Export;  All Products;Trade Value (US$ Thousand);1150,934;607,639;1354,488;330,63;90,425
Slovenia;Albania;Export;  All Products;Trade Value (US$ Thousand);19703,452;22757,238;32974,81;36789,246;48067,986
Slovenia;Algeria;Export;  All Products;Trade Value (US$ Thousand);30073,528;26716,314;37062,573;89911,976;128038,961
Slovenia;Andorra;Export;  All Products;Trade Value (US$ Thousand);366,912;493,251;764,199;446,084;503,246
Slovenia;Angola;Export;  All Products;Trade Value (US$ Thousand);28,878;98,778;211,144;813,153;278,999
Slovenia;Anguila;Export;  All Products;Trade Value (US$ Thousand);;;1,741;;
Slovenia;Antarctica;Export;  All Products;Trade Value (US$ Thousand);;1,207;;15,254;
Slovenia;Antigua and Barbuda;Export;  All Products;Trade Value (US$ Thousand);53,431;;;;234,379
Slovenia;Argentina;Export;  All Products;Trade Value (US$ Thousand);2067,49;2920,162;4747,472;5315,475;5005,414
Slovenia;Armenia;Export;  All Products;Trade Value (US$ Thousand);1075,52;2678,244;2948,631;6295,634;9294,661
Slovenia;Aruba;Export;  All Products;Trade Value (US$ Thousand);0,731;3,939;;;
Slovenia;Australia;Export;  All Products;Trade Value (US$ Thousand);27671,089;35498,656;40486,941;39595,688;37773,789
Slovenia;Austria;Export;  All Products;Trade Value (US$ Thousand);1185978,993;1442893,193;1820197,077;2072868,557;2293940,387
Slovenia;Azerbaijan;Export;  All Products;Trade Value (US$ Thousand);2216,057;2764,308;4127,249;6873,698;12784,883
Slovenia;Bahamas, The;Export;  All Products;Trade Value (US$ Thousand);7,179;11,895;2,12;23,006;117,549
Slovenia;Bahrain;Export;  All Products;Trade Value (US$ Thousand);460,15;679,912;1073,78;4201,527;824,299
Slovenia;Bangladesh;Export;  All Products;Trade Value (US$ Thousand);447,752;416,824;601,643;444,958;713,092
Slovenia;Barbados;Export;  All Products;Trade Value (US$ Thousand);25,342;19,015;103,462;25,126;
Slovenia;Belarus;Export;  All Products;Trade Value (US$ Thousand);34912,818;32714,373;44173,333;53558,793;69097,852
Slovenia;Belgium;Export;  All Products;Trade Value (US$ Thousand);174663,741;197371,006;232619,81;253230,776;295828,708
Slovenia;Belize;Export;  All Products;Trade Value (US$ Thousand);241,859;260,61;860,856;1903,062;398,2
Slovenia;Benin;Export;  All Products;Trade Value (US$ Thousand);148,159;85,043;92,024;63,543;6,755
Slovenia;Bermuda;Export;  All Products;Trade Value (US$ Thousand);0,2;60,708;38,473;49,347;48,477
Slovenia;Bhutan;Export;  All Products;Trade Value (US$ Thousand);52,006;;;;
Slovenia;Bolivia;Export;  All Products;Trade Value (US$ Thousand);102,288;84,309;110,903;794,289;56,331
Slovenia;Bosnia and Herzegovina;Export;  All Products;Trade Value (US$ Thousand);608635,027;636953,537;604706,249;730341,898;924597,586
Slovenia;Bouvet Island;Export;  All Products;Trade Value (US$ Thousand);79,316;;;;
Slovenia;Brazil;Export;  All Products;Trade Value (US$ Thousand);14473,524;14644,575;23455,21;29555,778;41567,639
Slovenia;British Virgin Islands;Export;  All Products;Trade Value (US$ Thousand);1430,542;1341,412;4932,345;3282,545;2192,189
Slovenia;Brunei;Export;  All Products;Trade Value (US$ Thousand);;;45,468;43,942;176,28
Slovenia;Bulgaria;Export;  All Products;Trade Value (US$ Thousand);98294,861;106895,044;122245,939;218895,124;264387,921
Slovenia;Burkina Faso;Export;  All Products;Trade Value (US$ Thousand);;;85,705;0,061;62,495
Slovenia;Burundi;Export;  All Products;Trade Value (US$ Thousand);0,05;35,619;28,409;42,901;282,782
Slovenia;Cambodia;Export;  All Products;Trade Value (US$ Thousand);584,77;552,467;1105,371;3293,684;4214,803
Slovenia;Cameroon;Export;  All Products;Trade Value (US$ Thousand);151,596;63,694;28,012;200,065;56,69
Slovenia;Canada;Export;  All Products;Trade Value (US$ Thousand);24865,252;32567,17;44344,456;58251,36;45821,448
Slovenia;Cape Verde;Export;  All Products;Trade Value (US$ Thousand);;;182;48,957;
Slovenia;Cayman Islands;Export;  All Products;Trade Value (US$ Thousand);;;2,6;;2,014
Slovenia;Central African Republic;Export;  All Products;Trade Value (US$ Thousand);2,398;13,085;70,47;41,47;
Slovenia;Chile;Export;  All Products;Trade Value (US$ Thousand);2497,979;3363,913;3170,045;3629,246;3822,751
Slovenia;China;Export;  All Products;Trade Value (US$ Thousand);34362,695;44718,419;66841,338;82843,527;101162,379
Slovenia;Colombia;Export;  All Products;Trade Value (US$ Thousand);3807,611;2901,88;5069,425;5487,685;7336,955
Slovenia;Congo, Dem. Rep.;Export;  All Products;Trade Value (US$ Thousand);119,785;274,823;92,33;32,941;141,431
Slovenia;Congo, Rep.;Export;  All Products;Trade Value (US$ Thousand);0,236;;54,565;100,484;136,594
Slovenia;Costa Rica;Export;  All Products;Trade Value (US$ Thousand);150,143;5184,343;1943,279;220,85;385,046
Slovenia;Cote d'Ivoire;Export;  All Products;Trade Value (US$ Thousand);1465,282;158,767;33,996;243,907;154,444
Slovenia;Croatia;Export;  All Products;Trade Value (US$ Thousand);1446872,91;1620218,184;1821213,171;2135203,439;2505907,723
Slovenia;Cuba;Export;  All Products;Trade Value (US$ Thousand);0,133;3,2;88,628;139,041;211,055
Slovenia;Cyprus;Export;  All Products;Trade Value (US$ Thousand);4496,842;6703,08;4916,246;13271,252;18282,416
Slovenia;Czech Republic;Export;  All Products;Trade Value (US$ Thousand);303662,778;398370,783;490954,011;670360,119;718495,374
Slovenia;Denmark;Export;  All Products;Trade Value (US$ Thousand);157710,315;181785,175;221685,905;259981,995;266078,718
Slovenia;Djibouti;Export;  All Products;Trade Value (US$ Thousand);878,26;1384,842;962,068;;
Slovenia;Dominica;Export;  All Products;Trade Value (US$ Thousand);31,36;;;;
Slovenia;Dominican Republic;Export;  All Products;Trade Value (US$ Thousand);175,648;113,501;170,441;437,091;1813,709
Slovenia;East Timor;Export;  All Products;Trade Value (US$ Thousand);;;;;0,679
Slovenia;Ecuador;Export;  All Products;Trade Value (US$ Thousand);2325,95;2188,91;2711,653;3096,126;2319,256
Slovenia;Egypt, Arab Rep.;Export;  All Products;Trade Value (US$ Thousand);48026,868;44794,228;43771,051;46361,563;66132,393
Slovenia;El Salvador;Export;  All Products;Trade Value (US$ Thousand);34,024;32,263;61,371;48,491;39,576
Slovenia;Eritrea;Export;  All Products;Trade Value (US$ Thousand);256,524;;;;
Slovenia;Estonia;Export;  All Products;Trade Value (US$ Thousand);9840,952;14292,416;19557,062;26081,222;28409,489
Slovenia;Ethiopia(excludes Eritrea);Export;  All Products;Trade Value (US$ Thousand);2900,079;5027,629;1163,788;606,254;293,847
Slovenia;Faeroe Islands;Export;  All Products;Trade Value (US$ Thousand);;;1,312;;78,87
Slovenia;Falkland Island;Export;  All Products;Trade Value (US$ Thousand);;0,354;;;
Slovenia;Fiji;Export;  All Products;Trade Value (US$ Thousand);10,262;16,924;14,492;;8,372
Slovenia;Finland;Export;  All Products;Trade Value (US$ Thousand);35927,868;49134,696;66695,353;86222,791;86117,158
Slovenia;Fm Sudan;Export;  All Products;Trade Value (US$ Thousand);328,69;4415,399;2537,592;986,11;5549,105
Slovenia;Fr. So. Ant. Tr;Export;  All Products;Trade Value (US$ Thousand);33,996;10,201;;;
Slovenia;France;Export;  All Products;Trade Value (US$ Thousand);1025215,248;1478148,882;1421721,387;1752881,016;1909252,138
Slovenia;French Polynesia;Export;  All Products;Trade Value (US$ Thousand);;37,191;371,3;863,538;1632,31
Slovenia;Gabon;Export;  All Products;Trade Value (US$ Thousand);283,935;489,227;682,709;4,622;125,824
Slovenia;Gambia, The;Export;  All Products;Trade Value (US$ Thousand);43,946;36,478;;1,589;3,909
Slovenia;Georgia;Export;  All Products;Trade Value (US$ Thousand);3942,816;4485,678;6078,372;7982,281;11298,773
Slovenia;Germany;Export;  All Products;Trade Value (US$ Thousand);3423506,154;3562321,978;4136318,754;5004223,891;5524473,129
Slovenia;Ghana;Export;  All Products;Trade Value (US$ Thousand);2955,336;1996,296;2821,906;3034,077;3757,911
Slovenia;Gibraltar;Export;  All Products;Trade Value (US$ Thousand);615,313;1058,177;2379,671;1000,178;293,166
Slovenia;Greece;Export;  All Products;Trade Value (US$ Thousand);78083,744;73626,746;73994,196;96906,561;121375,35
Slovenia;Greenland;Export;  All Products;Trade Value (US$ Thousand);;;2,224;;18,728
Slovenia;Grenada;Export;  All Products;Trade Value (US$ Thousand);19,883;16,366;;;
Slovenia;Guatemala;Export;  All Products;Trade Value (US$ Thousand);189,762;69,086;327,453;451,9;808,561
Slovenia;Guinea;Export;  All Products;Trade Value (US$ Thousand);728,158;;;;
Slovenia;Guinea-Bissau;Export;  All Products;Trade Value (US$ Thousand);;;24,012;;
Slovenia;Guyana;Export;  All Products;Trade Value (US$ Thousand);;;228,45;80,305;
Slovenia;Haiti;Export;  All Products;Trade Value (US$ Thousand);3,657;;6,624;5,56;2,612
Slovenia;Heard Island and McDonald Isla;Export;  All Products;Trade Value (US$ Thousand);25,499;9,268;294,402;231,487;24,483
Slovenia;Holy See;Export;  All Products;Trade Value (US$ Thousand);;8,473;;21,387;26,258
Slovenia;Honduras;Export;  All Products;Trade Value (US$ Thousand);110,519;75,088;62,556;82,184;27,363
Slovenia;Hong Kong, China;Export;  All Products;Trade Value (US$ Thousand);16248,847;19448,568;31673,91;27562,772;23036,045
Slovenia;Hungary;Export;  All Products;Trade Value (US$ Thousand);308822,692;353028,122;484598,782;889331,17;911252,685
Slovenia;Iceland;Export;  All Products;Trade Value (US$ Thousand);3808,075;3047,303;9089,257;7734,531;3560,577
Slovenia;India;Export;  All Products;Trade Value (US$ Thousand);21480,859;22117,178;39786,566;50121,004;71779,32
Slovenia;Indonesia;Export;  All Products;Trade Value (US$ Thousand);4281,702;5127,065;4766,603;6689,961;7975,806
Slovenia;Iran, Islamic Rep.;Export;  All Products;Trade Value (US$ Thousand);74100,047;49606,431;43931,03;77767,134;71225,027
Slovenia;Iraq;Export;  All Products;Trade Value (US$ Thousand);3143,639;4638,102;1993,096;212,554;1815,864
Slovenia;Ireland;Export;  All Products;Trade Value (US$ Thousand);24724,47;25906,33;32065,291;38763,337;39841,379
Slovenia;Israel;Export;  All Products;Trade Value (US$ Thousand);19784,757;19717,276;21650,53;30507,205;30215,828
Slovenia;Italy;Export;  All Products;Trade Value (US$ Thousand);2068653,953;2265058,708;2707553,989;3514648,254;3536236,678
Slovenia;Jamaica;Export;  All Products;Trade Value (US$ Thousand);488,462;382,013;146,179;175,126;592,829
Slovenia;Japan;Export;  All Products;Trade Value (US$ Thousand);20413,235;22775,994;23953,223;27340,945;34582,387
Slovenia;Jordan;Export;  All Products;Trade Value (US$ Thousand);2817,192;4151,138;4374,142;5546,646;5616,66
Slovenia;Kazakhstan;Export;  All Products;Trade Value (US$ Thousand);32569,775;41660,038;63982,951;59594,205;63422,486
Slovenia;Kenya;Export;  All Products;Trade Value (US$ Thousand);35,944;315,427;1937,434;1221,127;995,626
Slovenia;Kiribati;Export;  All Products;Trade Value (US$ Thousand);;2,566;;;
Slovenia;Korea, Dem. Rep.;Export;  All Products;Trade Value (US$ Thousand);462,616;1061,551;657,767;827,915;488,621
Slovenia;Korea, Rep.;Export;  All Products;Trade Value (US$ Thousand);16677,412;18851,129;20115,888;24503,128;25298,044
Slovenia;Kuwait;Export;  All Products;Trade Value (US$ Thousand);3463,401;2946,057;4502,58;11915,724;11287,603
Slovenia;Kyrgyz Republic;Export;  All Products;Trade Value (US$ Thousand);1028,369;2214,438;2902,911;4567,812;5258,402
Slovenia;Lao PDR;Export;  All Products;Trade Value (US$ Thousand);94,11;;68,631;21,555;193,771
Slovenia;Latvia;Export;  All Products;Trade Value (US$ Thousand);18839,338;15272,764;22433,576;34367,999;34220,033
Slovenia;Lebanon;Export;  All Products;Trade Value (US$ Thousand);5091,542;2941,764;2640,352;3405,379;3103,802
Slovenia;Liberia;Export;  All Products;Trade Value (US$ Thousand);272,982;47,37;109,131;35,422;62,355
Slovenia;Libya;Export;  All Products;Trade Value (US$ Thousand);3402,749;3075,974;3668,521;23875,004;93581,227
